fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
3,,BVGH8  ,,413696450,15,0.0,118.432835,24.635765,310.5,80,2023-03-05 18:26:31
41,9478274,3FYA3  ,GOLDEN SIRIUS       ,353007000,0,12.0,121.175802,21.612603,12.0,80,2023-03-05 18:32:54
64,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.2,117.547982,23.719863,189.6,80,2023-03-05 18:31:44
89,0,BVCZ8  ,HAI GONG 166        ,412704020,0,0.0,118.376693,24.538245,360.0,80,2023-03-05 18:32:50
90,0,BVG08  ,HAI GONG 169        ,412704030,1,0.8,118.035747,24.430922,360.0,80,2023-03-05 18:29:31
112,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.03972,24.466825,220.1,80,2023-03-05 18:32:48
113,0,BVAK8  ,HAI DA 788          ,413696810,1,0.1,118.04284,24.428048,196.1,80,2023-03-05 18:31:33
114,9058684,9LU2698,AN SHUEN            ,667001895,0,0.0,120.274867,22.61246,360.0,80,2023-03-05 18:32:53
120,0,BLGG2,ZHONGRONG CHUYUN001,413446320,0,9.9,116.934982,23.076953,56.5,80,2023-03-05 18:24:27
124,,BVFG 8 ,,413699880,15,0.0,118.036997,24.466673,187.0,80,2023-03-05 18:27:08
188,0,BBIU5,HUIJINYI 039,413327960,1,0.1,118.490655,24.55181,281.2,80,2023-03-05 18:32:20
260,8408636,9LU2144,KUN PENG            ,667001341,0,6.3,120.549548,24.640613,23.7,80,2023-03-05 18:32:53
326,0,BOEW4  ,WAN XIN YOU 8       ,413227860,0,11.7,116.89344,23.037985,241.6,80,2023-03-05 18:32:22
363,0,BLBZ   ,HAI XIN YOU 602     ,413400630,0,11.0,119.052698,24.910313,15.7,80,2023-03-05 18:32:50
364,0,BLJD3  ,XIANGSHUNYOU9   ,413400670,1,0.1,117.103733,23.512113,360.0,80,2023-03-05 18:31:45
391,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300887,22.584343,59.0,80,2023-03-05 18:30:00
401,9800659,3FYZ4  ,RICH RAINBOW        ,353754000,0,1.6,119.943467,21.976783,252.0,80,2023-03-05 18:32:50
403,,0000000,,413592460,15,0.0,119.547617,26.120992,189.9,80,2023-03-05 18:21:52
405,0,,WAN XIN YOU 18      ,413230440,1,0.4,118.168933,24.361122,24.5,80,2023-03-05 18:32:44
579,9709271,3EWS3  ,SHOTAN              ,352596000,0,13.3,120.825842,21.617748,226.3,80,2023-03-05 18:32:55
676,9458494,SVDI2  ,ACHILLEAS           ,241716000,0,12.0,121.026932,21.78223,53.2,80,2023-03-05 18:32:51
795,9213208,E5U3586,PROGRESS 10         ,518100675,5,0.1,120.165842,22.973212,106.0,80,2023-03-05 18:30:27
807,9888766,9HA5789,ORION MONET         ,256293000,0,17.4,122.158155,21.932333,347.8,80,2023-03-05 18:32:07
809,9288837,LAKA5  ,CHAMPION TIMUR      ,257357000,0,12.5,121.514543,21.412653,225.3,80,2023-03-05 18:32:38
841,0,BPCR9  ,RONG TOU YOU 8      ,412303310,0,0.0,119.45012,25.240307,25.9,80,2023-03-05 18:32:20
876,0,BBLQ1,YUAN MAN YOU 888,412330180,5,0.0,117.835037,24.435982,0.0,80,2023-03-05 18:29:11
1076,0,BPBW9  ,MIN YOU 101         ,412459770,0,9.8,121.009733,27.560148,222.1,80,2023-03-05 18:30:26
1189,0,BOXE5,HUA GUANG 16,412431550,0,9.7,119.663847,25.174343,221.0,80,2023-03-05 18:31:58
1269,0,BKNN5  ,LI HUA 26           ,413435490,0,11.3,120.263518,26.086683,21.9,80,2023-03-05 18:32:58
1271,0,BKVK5  ,YU SHUN 88          ,413443140,0,8.6,118.557373,24.255588,52.8,80,2023-03-05 18:32:57
1273,0,BKTI5,KAI FENG 17,413445240,0,10.3,120.297195,26.717162,220.1,80,2023-03-05 18:27:36
1278,0,BKRJ6,KANG FA 87,413451090,8,9.3,117.910283,23.784303,232.1,80,2023-03-05 18:32:15
1297,0,BVWX7  ,HUALONGYOU1         ,412704730,1,0.0,119.856837,26.322515,360.0,80,2023-03-05 18:32:45
1307,0,BQTY   ,JIA LI 68           ,412763150,0,10.0,119.579152,25.122308,61.5,80,2023-03-05 18:32:47
1312,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.037013,24.466302,0.0,80,2023-03-05 18:32:41
1317,,,,413695530,0,0.0,118.037067,24.464138,360.0,80,2023-03-05 18:20:40
1322,,,JINHAISHUN3         ,413695940,15,0.0,118.039722,24.46696,92.8,80,2023-03-05 18:22:44
1323,,,HAIMINGHUA168       ,413695950,15,0.0,118.036205,24.469332,259.1,80,2023-03-05 18:32:02
1325,,,SHUN ZHOU 99        ,413697050,15,0.0,118.191925,24.559085,277.0,80,2023-03-05 18:32:44
1326,,,ZHOUHAI 62,413697060,15,0.1,118.037093,24.464065,258.9,80,2023-03-05 18:24:43
1328,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.036485,24.463532999999998,149.3,80,2023-03-05 18:21:11
1332,9702974,BVIT5  ,XING TONG 10        ,413697810,0,10.4,118.672778,24.37552,252.1,80,2023-03-05 18:32:39
1336,0,BVHW8  ,HAI GONG 167        ,413698470,8,0.0,118.03694,24.462703,158.4,80,2023-03-05 18:32:16
1337,,,HENG YU 9           ,413698760,15,0.0,118.365908,24.517095,14.2,80,2023-03-05 18:31:34
1341,,,LU HAI XING 67,413699550,15,0.0,118.038107,24.462862,117.5,80,2023-03-05 18:32:58
1353,0,BOAS4  ,MIN YOU 109         ,413211070,1,0.0,119.860878,26.293005,209.4,80,2023-03-05 18:31:40
1356,,,MINXIAMENYOU0026,413215850,15,0.2,118.038177,24.462743,211.0,80,2023-03-05 18:32:50
1371,9856476,BOGI3  ,KUN SHUN            ,413233410,0,13.2,119.96346,22.963435,342.2,80,2023-03-05 18:32:54
1372,9874234,BOGW7  ,ZHE NENG YOU1       ,413235480,0,11.5,118.63676,24.342892,229.0,80,2023-03-05 18:32:58
1401,0,BQ3019,CHUNG YU NO1,416000120,1,0.0,120.520238,24.28665,177.3,80,2023-03-05 18:26:08
1451,0,BQYG   ,XIN FU YUAN 9       ,414400250,0,11.7,117.850413,23.769752,47.0,80,2023-03-05 18:32:53
1452,0,,JIAN QIAO 116       ,414402130,0,11.5,116.936588,23.093247,60.5,80,2023-03-05 18:32:25
1468,0,BTFA1  ,DONG TAI 16         ,413332410,0,10.0,119.072395,24.805802,237.8,80,2023-03-05 18:32:07
1511,0,BKMG   ,AO TAI 2            ,413449160,0,11.3,120.673133,26.80499,215.5,80,2023-03-05 18:32:47
1519,0,BFBM9  ,ZHONG HAI YOU 668   ,413305640,1,0.2,119.792467,26.264905,159.8,80,2023-03-05 18:31:18
1528,0,       ,HUI JIN YI 139      ,413460610,5,0.0,118.430142,24.640888,251.2,80,2023-03-05 18:30:58
1532,0,,SHAN QING 5 ,413470870,0,0.1,117.108267,23.559463,347.9,80,2023-03-05 18:27:58
1537,0,BMEO   ,DONG FANG 67,413494360,1,0.6000000000000001,117.539757,23.713868,66.4,80,2023-03-05 18:32:15
1558,9283277,BPAC   ,YU LIN WAN          ,413120000,0,10.3,118.83665,24.215397,40.8,80,2023-03-05 18:32:25
1564,0,_      ,HUA GUANG 95        ,413466770,0,4.7,118.83172,24.624257,46.0,80,2023-03-05 18:32:58
1566,,,,413700790,15,0.1,118.037128,24.463842,318.0,80,2023-03-05 18:25:35
1722,9531351,BR4317 ,TONG YEA NO.9       ,416006175,0,0.0,120.28597,22.597418,62.5,80,2023-03-05 18:32:50
1727,9792008,D5MM9  ,SOUTHERN PUMA       ,636017741,0,13.7,120.020508,24.07741,214.3,80,2023-03-05 18:32:46
1770,9349928,BIAG7  ,PENG SHUN           ,413376290,0,13.0,117.12165,23.030567,235.0,80,2023-03-05 18:27:46
1780,0,BLGN6  ,XING LONG ZHOU 158  ,413405370,0,10.5,119.231653,24.860185,50.9,80,2023-03-05 18:32:51
1781,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,0,0.30000000000000004,119.718173,26.445643,109.6,80,2023-03-05 18:27:57
1787,0,BLFB7  ,KUN LUN YOU 003     ,413422620,0,9.6,121.210283,27.371817,38.0,80,2023-03-05 18:31:35
1797,9186273,3EQU6  ,JM SCORPIO          ,357057000,0,0.1,120.480368,24.26717,19.2,80,2023-03-05 18:32:54
1800,0,BVFR8,HAIDA988,412705360,1,0.1,118.037075,24.422953,192.7,80,2023-03-05 18:26:13
1847,9337755,V7PD7,MOZAH,538003212,0,16.8,122.5125,24.470833,10.0,80,2023-03-05 18:32:57
1849,9852274,D5TJ3  ,SOUTHERN VULTURE    ,636019191,0,11.8,119.124225,24.34888,217.6,80,2023-03-05 18:32:09
1852,9862308,V7A2791,FLEX FREEDOM        ,538008814,0,10.3,122.570285,22.913333,23.4,80,2023-03-05 18:32:38
1898,9550060,BPBF7  ,HUA FU YOU 2        ,413498270,0,10.6,119.977953,25.644482,205.8,80,2023-03-05 18:32:56
1903,9337183,VRMH5  ,COSJADE LAKE        ,477242800,0,14.1,119.654853,21.698533,217.8,80,2023-03-05 18:28:32
1904,8690186,BRSA ,HENGYU9 ,412470080,0,9.5,119.039192,24.739342,57.3,80,2023-03-05 18:32:05
1906,0,BTJB9  ,YAHANG006           ,414401510,0,12.1,119.913443,25.376958,38.6,80,2023-03-05 18:32:56
1912,8910639,BNCB   ,TONG YEA NO.3       ,416124900,0,0.0,121.74537,25.151325,360.0,80,2023-03-05 18:32:52
1932,0,BKQS6  ,NING YUAN 68,413450480,0,9.5,120.082552,25.847002,205.5,80,2023-03-05 18:32:50
1956,9732814,V7OE9  ,TRF MONGSTAD        ,538006544,1,0.30000000000000004,120.072393,23.776422,22.9,80,2023-03-05 18:20:01
1969,,,MIN XIA MEN YOU 0060,412459660,15,6.2,118.04557,24.454783,198.7,80,2023-03-05 18:31:45
1993,9424077,BIOY   ,DING HENG 17        ,413371050,1,0.0,119.181915,24.943218,8.9,80,2023-03-05 18:25:01
2019,9589982,BHDA   ,DER YUN             ,416460000,1,0.30000000000000004,120.134077,23.736715,170.1,80,2023-03-05 18:32:13
2029,9860752,D5VB8  ,MORNING SPARROW     ,636019564,0,9.9,119.400235,21.801958,265.7,80,2023-03-05 18:30:18
2067,9534793,9KCQ   ,AL SALMI            ,447097000,0,11.8,122.950937,23.548518,18.9,80,2023-03-05 18:32:44
2084,0,BHOW   ,JI  XIANG  6        ,413444190,0,9.0,118.573227,24.481295,256.7,80,2023-03-05 18:32:57
2145,0,BOPX5  ,JIN SHUN YOU 29     ,413280720,0,11.7,120.7448,26.848528,214.1,80,2023-03-05 18:31:54
2194,9800013,DUJQ   ,EVA BERGEN          ,548972000,0,12.6,119.874243,22.774622,180.6,80,2023-03-05 18:32:29
2199,0,BSIA3  ,JIAO YUN YOU 169    ,413381070,0,11.5,121.278158,27.532653,220.4,80,2023-03-05 18:20:59
2211,9262417,VRDY3  ,QIAN CHI            ,477071900,0,9.8,119.948617,25.053543,41.3,80,2023-03-05 18:30:06
2272,9910117,5LBV3  ,TATESHINA           ,636021014,0,13.5,122.42133,24.388313,206.9,80,2023-03-05 18:32:56
