,fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
0,1,,,YUECHAOYANGYU13213  ,412461672,15,0.3,118.138835,24.332053,304.7,0,2023/1/27 22:41
1,2,,,,412446243,15,0.3,117.519,23.745747,314.2,0,2023/1/27 22:48
2,3,,,38888-45-85%,412458888,15,0,119.891833,26.241368,334.2,0,2023/1/27 22:51
3,4,9370666,C6YZ4  ,SEAPEAK CAMILLA     ,311038800,0,5.7,121.165938,26.018732,29.4,81,2023/1/27 22:53
4,5,,BH3397 ,,416004398,15,0,121.86588,24.583785,360,90,2023/1/27 22:52
5,6,,,SHENG YU CHANG      ,416004399,0,0,120.204347,22.871632,123.3,30,2023/1/27 22:53
6,7,,0,,412449785,15,0.3,120.431975,27.15056,75.2,30,2023/1/27 22:46
7,8,,0,,412449793,15,0.2,120.412488,27.17467,176.1,30,2023/1/27 22:51
8,9,,0,,412449809,15,0,120.413543,27.168828,0,30,2023/1/27 22:46
9,10,9425617,DSQH9  ,NEW GLOBAL          ,441586000,0,5.4,120.519987,25.848355,28,82,2023/1/27 22:53
10,11,,0,,412442254,15,4.9,119.546292,26.121037,79.6,30,2023/1/27 22:50
11,12,,0,,412442272,15,0.2,119.881712,26.319553,54.5,30,2023/1/27 22:48
12,13,,,01518+1*85%         ,151801,15,0.3,120.624107,26.490058,244,0,2023/1/27 22:53
13,14,,,01518+3*93%         ,151803,15,0.4,120.643477,26.5158,251,0,2023/1/27 22:52
14,15,,,01518+7*84%         ,151807,15,0.4,120.634762,26.5041,243,0,2023/1/27 22:53
15,16,,,01518+12*54%        ,151812,15,0.4,120.636192,26.508722,246,0,2023/1/27 22:53
16,17,,,01519+9*69%        ,151909,15,1,120.698868,26.51652,249.1,0,2023/1/27 22:52
17,18,,,01519+12*58%        ,151912,15,0.3,120.70274,26.522392,247,0,2023/1/27 22:48
18,19,,       ,,412507896,15,0.1,120.239693,26.933007,314.1,30,2023/1/27 22:51
19,20,8408636,9LU2144,KUN PENG            ,667001341,5,0,120.507385,24.269232,219.4,80,2023/1/27 22:53
20,21,9078309,9LU2879,MOON LUCK           ,667001355,0,0.2,119.948505,26.445495,117,80,2023/1/27 22:53
21,22,9142332,9LU2159,ALEXANDER           ,667001356,1,0.4,120.250297,22.59807,301.4,70,2023/1/27 22:52
22,23,,,09789-11-69%        ,909789011,15,0,118.197888,24.346025,324,0,2023/1/27 22:49
23,24,,,09789-13-37%        ,909789013,15,0,118.206927,24.349205,325,30,2023/1/27 22:52
24,25,,,ZHONGRUIHAI 699 ,413216160,15,0.1,118.059233,24.377133,27.3,70,2023/1/27 22:46
25,26,0,BOGI2  ,XUAN TENG RUN HE    ,413234260,1,0.9,118.098827,24.391573,148.1,70,2023/1/27 22:51
26,27,,,XING FA 169,413234290,0,0,119.047033,25.21485,0,70,2023/1/27 22:51
27,28,0,BQRM   ,XIN JIN RUI         ,413210730,0,8.7,119.844202,25.82624,184,70,2023/1/27 22:53
28,29,,,1177-43-52%,412431177,15,0,119.905227,26.237182,3.4,0,2023/1/27 22:52
29,30,,       ,,412505059,15,19.2,119.65388,25.363267,328.3,30,2023/1/27 22:53
30,31,,0,,412448815,15,0,120.216715,26.917692,0,30,2023/1/27 22:42
31,32,,,MINFUDINGYU02769    ,412448835,15,0.7,120.576957,26.43777,322.7,0,2023/1/27 22:53
32,33,,       ,,412505131,15,0.3,119.653997,25.364743,90.9,30,2023/1/27 22:53
33,34,,,,412505134,15,0.2,119.649772,25.361948,0,0,2023/1/27 22:50
34,35,,       ,,412505149,15,1.7,119.454938,25.233748,258.7,30,2023/1/27 22:51
35,36,,,,412505159,15,0.1,119.653997,25.364633,0,0,2023/1/27 22:51
36,37,,       ,,412505161,15,0.3,119.653468,25.365408,139.7,30,2023/1/27 22:42
37,38,9482249,7JHK   ,CAPE TSUBAKI        ,432767000,5,0,119.715053,26.449558,28,70,2023/1/27 22:47
38,39,,,WAN LUNG,613804200,15,4.8,120.10528,22.838448,15.3,70,2023/1/27 22:53
39,40,,O,,158000028,15,1,118.182287,24.334335,11.5,0,2023/1/27 22:48
40,41,,,YU60224--3-02%,158000045,15,0,120.05955,26.221448,172.6,0,2023/1/27 22:47
41,42,0,BHYL,EN CI1,413352590,1,0.3,119.793572,26.262408,268.8,70,2023/1/27 22:49
42,43,,,XIANGCHENG9,414351330,15,0.1,118.386928,24.543117,72.3,52,2023/1/27 22:52
43,44,,,LONG YU FA NO68     ,416003136,15,0,121.637693,23.997427,16.8,30,2023/1/27 22:53
44,45,0,BDSO,MAO YUN 198,413637000,1,0.3,119.56441,25.654045,148.5,70,2023/1/27 22:52
45,46,0,BVBC5,XING DONG 27,412702730,1,0,118.458518,24.575468,234.5,70,2023/1/27 22:52
46,47,9249233,VQGH8  ,EVER PRIDE          ,235612000,5,0,120.33445,22.550867,58,74,2023/1/27 22:51
47,48,,,CT2-6304 NO:1   12V2,11006304,15,1,121.871458,24.578602,93.9,0,2023/1/27 22:49
48,49,,,38888-50-47%,412508888,15,0,119.89929,26.246695,284.4,0,2023/1/27 22:53
49,50,,O,,518200199,15,1.4,118.188705,24.348317,285.9,0,2023/1/27 22:53
50,51,0, ,BAO GANG TUO 7      ,413374290,0,0,119.727767,26.74152,281.5,52,2023/1/27 22:53
51,52,0,BQOH   ,ZHONGGUOHAIJIAN 203 ,413704360,5,0,118.09732,24.550152,182.5,55,2023/1/27 22:47
52,53,0,BQOI   ,XINHUALONG,413704410,0,0,118.739182,24.719392,325.3,70,2023/1/27 22:53
53,54,0,       ,LU  JIANG 82        ,413704440,5,0.2,118.053602,24.45021,142,60,2023/1/27 22:53
54,55,,,,561177,15,0.2,118.225993,24.338873,8,0,2023/1/27 22:51
55,56,,,897-7 80%,561258,15,1.2,118.237647,24.362397,38,0,2023/1/27 22:51
56,57,,,,561758,15,1.5,118.203433,24.326947,355,0,2023/1/27 22:48
57,58,,,,561894,15,0.9,118.251513,24.34489,129,0,2023/1/27 22:52
58,59,,,63898-12 60%,561898,15,0.5,118.252093,24.339812,6,0,2023/1/27 22:53
59,60,,,808-7 80%,561905,15,1,118.209313,24.36504,28,0,2023/1/27 22:51
60,61,,,,563800,15,1.4,118.2294,24.340748,269,0,2023/1/27 22:52
61,62,,,,563808,15,1,118.20648,24.360622,7,0,2023/1/27 22:53
