fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
1,,,MINJINYU08118       ,412446245,15,0.0,118.50148,24.619468,0.0,0,2023-03-05 18:22:16
2,0,,HAI BANG DA 328,412473710,5,0.0,118.027493,24.441723,260.3,79,2023-03-05 18:19:50
3,,,PEACEENOY           ,414312345,15,2.5,120.544163,26.242367,10.0,0,2023-03-05 18:24:32
4,,BH3397 ,,416004398,15,0.0,121.86892,24.584834999999998,360.0,90,2023-03-05 18:24:22
5,,0000000,,412449793,15,0.30000000000000004,120.411338,27.176738,342.6,30,2023-03-05 18:21:15
6,,0000000,,412449807,15,0.1,119.754938,26.599302,0.0,30,2023-03-05 18:23:07
7,,,NET FISHING      7V5,19001146,15,0.7000000000000001,121.37997,23.099038,333.2,0,2023-03-05 18:26:00
8,0,,HUI JIN QIAO 11,412473350,0,7.9,117.52908,23.609322,231.2,79,2023-03-05 18:22:12
9,,,MIN LIAN YU 61831   ,412442251,15,9.1,117.783475,23.6314,41.6,0,2023-03-05 18:24:34
10,,0000000,,412442254,15,0.2,119.548,26.121387,0.0,30,2023-03-05 18:24:49
11,,       ,,200041693,15,0.30000000000000004,121.622295,23.972315,314.3,30,2023-03-05 18:24:07
12,,0,,413001000,15,2.9,120.21448,25.396448,281.1,30,2023-03-05 18:17:22
13,,,JIN DER TSAI        ,416002346,15,0.5,122.297278,25.236153,70.3,0,2023-03-05 18:25:51
14,,,01518+3*62%         ,151803,15,0.30000000000000004,120.627253,26.508037,318.0,0,2023-03-05 18:25:59
15,,,01518+8*75%         ,151808,15,0.4,120.61457,26.475473,285.0,0,2023-03-05 18:22:20
16,,,01519+9*83%         ,151909,15,0.30000000000000004,120.657685,26.425307,304.0,0,2023-03-05 18:26:35
17,,,01519+12*88%        ,151912,15,5.1,120.654847,26.400987,190.0,0,2023-03-05 18:23:32
18,,,01519+17*99%        ,151917,15,4.4,120.6597,26.420277,195.0,0,2023-03-05 18:14:16
19,9897121,CQED4  ,UHL FREEDOM         ,255806351,5,0.0,120.50911,24.259367,327.5,70,2023-03-05 18:20:50
20,8408636,9LU2144,KUN PENG            ,667001341,0,6.3,120.544023,24.629197,23.7,80,2023-03-05 18:25:54
21,,,ZHERUIYU12086       ,412431156,15,1.5,121.390558,26.451262,210.0,0,2023-03-05 18:22:33
22,,,,412431171,15,4.0,121.444325,27.254378,9.1,30,2023-03-05 18:23:18
23,,,ZHEPUGONG101,412763410,15,0.0,118.275738,24.532455,226.7,70,2023-03-05 18:23:51
24,,       ,,412284438,15,0.30000000000000004,119.747387,26.154378,173.1,30,2023-03-05 18:23:10
25,,       ,,416003565,15,0.4,122.271172,25.278067,305.1,30,2023-03-05 18:22:54
26,,BJ4080 ,,416003577,15,8.6,119.95086,23.137568,146.5,30,2023-03-05 18:24:26
27,9384502,9AA5910,ZAGREB              ,238249000,0,10.9,119.449072,22.19456,214.4,70,2023-03-05 18:24:34
28,,,MINLIANYUYUN65877,412445306,15,8.4,121.304907,26.400043,95.0,30,2023-03-05 18:25:01
29,,,5809-3          12V5,3005809,15,1.1,122.077068,24.912047,41.0,0,2023-03-05 18:25:37
30,8631661,5VED4 ,AN LI               ,671747000,8,0.30000000000000004,121.318372,25.55235,53.2,70,2023-03-05 18:25:51
31,9884368,BP3585 ,VENTUS BEIGANG,416005898,0,0.0,120.519328,24.28824,360.0,70,2023-03-05 18:25:40
